clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
Dataset_Clutch/Clip32,470,2.664038515931597,15.77667517045614,1,1.0
Dataset_Clutch/Clip32,485,5.312324399889753,21.83014601986309,1,1.0
Dataset_Clutch/Clip33,219,1.422187544078958,19.871599031917956,1,1.0
Dataset_Clutch/Clip33,335,3.270654472223896,16.129278428955764,1,1.0
Dataset_Clutch/Clip33,355,2.6174770439106787,15.955882619186736,1,1.0
Dataset_Clutch/Clip33,383,2.084501280039849,15.96144885973911,1,1.0
Dataset_Clutch/Clip34,40,5.834607089208581,16.284555209108113,1,1.0
Dataset_Clutch/Clip35,184,3.084678005487122,3.1761883488968916,1,1.0
Dataset_Clutch/Clip36,219,0.9114340653595949,6.634358235279449,1,1.0
Dataset_Clutch/Clip36,261,0.15828954521635555,1.5039630911565387,1,1.0
Dataset_Clutch/Clip36,377,6.007304449776766,0.5403613537313526,1,1.0
Dataset_Clutch/Clip37,80,3.679089050779038,2.2829594651443488,1,1.0
Dataset_Clutch/Clip37,90,3.6682290777887667,0.8887861830688212,1,1.0
Dataset_Clutch/Clip38,186,1.599054691673937,1.7264285595451974,1,1.0
Dataset_Clutch/Clip38,303,5.134898065781831,1.6696720926521036,1,1.0
Dataset_Clutch/Clip39,166,7.534726928785114,22.277993143629427,1,1.0
Dataset_Clutch/Clip40,146,3.0522689266784457,23.270067490806902,1,1.0
Dataset_Clutch/Clip41,41,6.780392146949634,16.829654530626783,1,1.0
Dataset_Clutch/Clip42,97,0.30083166828884117,23.048649641798438,1,1.0
Dataset_Clutch/Clip42,138,3.8886311285002026,0.19705189164082182,1,1.0
Dataset_Clutch/Clip45,151,0.7121970310052286,3.304002282532646,1,1.0
Dataset_Clutch/Clip46,75,0.0843234453711592,24.03304258471023,1,1.0
Dataset_Clutch/Clip46,127,1.5231698095137605,2.664372365985899,1,1.0
Dataset_Clutch/Clip47,162,7.505512530821798,1.143007449652436,1,1.0
Dataset_Clutch/Clip50,63,3.925893943835637,17.81332024949519,1,1.0
Dataset_Clutch/Clip50,180,5.88013289524957,6.231725615572603,1,1.0
Dataset_Clutch/Clip50,330,0.04910656818999535,19.255402506407123,1,1.0
Dataset_Clutch/Clip51,55,1.1673109260519232,9.665004704637825,1,1.0
Dataset_Clutch/Clip52,120,3.723040596549238,23.02244056115265,1,1.0
Dataset_Clutch/Clip52,300,8.289041693639177,15.896650482776877,1,1.0
Dataset_Clutch/Clip52,332,7.050067462874295,10.537502118868009,1,1.0
Dataset_Clutch/Clip53,120,4.010357573582953,19.848547699819058,1,1.0
Dataset_Clutch/Clip54,387,0.7602232795962515,23.287402425509722,1,1.0
Dataset_Clutch/Clip56,147,3.3455826346106305,22.785080382284942,1,1.0
Dataset_Clutch/Clip57,148,5.522334371793221,18.191401996267338,1,1.0
Dataset_Clutch/Clip57,193,6.764609032028134,13.370924202770938,1,1.0
Dataset_Clutch/Clip59,23,4.055793893899629,21.84035232180927,1,1.0
Dataset_Clutch/Clip59,126,7.0362557468723415,21.816143205145977,1,1.0
Dataset_Clutch/Clip59,189,8.3673172661463,4.325111586677795,1,1.0
Dataset_Clutch/Clip59,259,2.6858760589134665,20.946596424908822,1,1.0
Dataset_Clutch/Clip59,274,0.8735485474493959,23.77803242497551,1,1.0
Dataset_Clutch/Clip59,395,7.151227486164267,20.687198923596647,1,1.0
Dataset_Clutch/Clip60,172,8.244887058740472,15.015759688047927,1,1.0
Dataset_Clutch/Clip60,189,8.383287494835677,15.187736741508806,1,1.0
Dataset_Clutch/Clip60,252,1.2508286371239141,4.530146572827722,1,1.0
Dataset_Clutch/Clip60,350,6.149377616318125,3.497177252336788,1,1.0
Dataset_Clutch/Clip61,54,4.525422685202596,8.222151058694052,1,1.0
Dataset_Clutch/Clip61,132,2.4460941748631173,22.79205418661093,1,1.0
Dataset_Clutch/Clip61,189,0.7865496691118932,4.936476220500128,1,1.0
Dataset_Clutch/Clip61,245,4.850533878400187,22.065528178576486,1,1.0
Dataset_Clutch/Clip61,267,7.0362557468723415,21.816143205145977,1,1.0
Dataset_Clutch/Clip61,341,0.3105583016945487,1.8298823948653846,1,1.0
Dataset_Clutch/Clip62,78,7.408987151328873,23.237117263118787,1,1.0
Dataset_Clutch/Clip62,86,5.162402453545758,17.607035615450915,1,1.0
Dataset_Clutch/Clip62,102,6.254071806942208,22.054255661987753,1,1.0
Dataset_Clutch/Clip62,148,2.462582119215817,3.3686824848589736,1,1.0
Dataset_Clutch/Clip63,76,0.40074788741629874,19.252183560871952,1,1.0
Dataset_Clutch/Clip64,269,2.45723899751389,4.710729512201657,1,1.0
