00:59:24 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip55 | 50 frames | 1920x1080
00:59:26 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip55 | 8 tracks -> 2 seleccionados por movimiento
00:59:26 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip55 acumulado (100 filas) | presion punto: (0, 0).
00:59:26 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip56 | 250 frames | 1920x1080
00:59:39 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip56 | 10 tracks -> 2 seleccionados por movimiento
00:59:39 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip56 acumulado (500 filas) | presion punto: (0, 0).
00:59:39 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip57 | 200 frames | 1920x1080
00:59:50 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip57 | 11 tracks -> 2 seleccionados por movimiento
00:59:50 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip57 acumulado (400 filas) | presion punto: (1, 0).
00:59:50 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip58 | 150 frames | 1920x1080
00:59:57 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip58 | 9 tracks -> 2 seleccionados por movimiento
00:59:57 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip58 acumulado (300 filas) | presion punto: (0, 0).
00:59:57 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip59 | 400 frames | 1920x1080
01:00:18 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip59 | 15 tracks -> 2 seleccionados por movimiento
01:00:18 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip59 acumulado (800 filas) | presion punto: (0, 0).
01:00:18 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip60 | 400 frames | 1920x1080
01:00:38 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip60 | 11 tracks -> 2 seleccionados por movimiento
01:00:38 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip60 acumulado (800 filas) | presion punto: (0, 0).
01:00:38 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip61 | 400 frames | 1920x1080
01:00:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip61 | 20 tracks -> 2 seleccionados por movimiento
01:00:59 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip61 acumulado (800 filas) | presion punto: (0, 0).
01:00:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip62 | 190 frames | 1920x1080
01:01:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip62 | 8 tracks -> 2 seleccionados por movimiento
01:01:08 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip62 acumulado (380 filas) | presion punto: (0, 1).
01:01:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip63 | 150 frames | 1920x1080
01:01:16 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip63 | 11 tracks -> 2 seleccionados por movimiento
01:01:16 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip63 acumulado (300 filas) | presion punto: (0, 0).
01:01:16 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip64 | 396 frames | 1920x1080
01:01:35 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip64 | 16 tracks -> 2 seleccionados por movimiento
01:01:35 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip64 acumulado (792 filas) | presion punto: (1, 0).
01:01:35 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip65 | 100 frames | 1920x1080
01:01:41 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip65 | 7 tracks -> 2 seleccionados por movimiento
01:01:41 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip65 acumulado (200 filas) | presion punto: (0, 0).
01:01:41 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip66 | 500 frames | 1920x1080
11:09:47 | INFO    | main | Game: Dataset_Clutch | salida: /workspace/TFM/outputs/final_v1
